Date,open,high,low,close,volume,price,market_cap,next_day_movement
3/7/2025,,,,,7029.087224,0.000261065,261016.244,down
3/8/2025,,,,,5995.301344,0.000250756,250804.7039,down
3/9/2025,0.00024394,0.00028675,0.00023206,0.00023613,3518.467697,0.000236141,235526.1159,down
3/10/2025,,,,,2809.428011,0.000213325,213476.4165,down
3/11/2025,,,,,3851.276805,0.000197295,197257.2378,up
3/12/2025,,,,,1628.780788,0.000205331,205291.2348,down
3/13/2025,0.00023571,0.00023766,0.00019044,0.00020058,1394.388014,0.000200579,200539.8045,down
3/14/2025,,,,,483.7229201,0.000195157,195042.6142,up
3/15/2025,,,,,3218.425872,0.000231044,231283.4838,down
3/16/2025,,,,,2558.818247,0.000230508,229501.1893,down
3/17/2025,0.0002019,0.00023561,0.00019289,0.00020543,4856.033181,0.000206464,205356.2474,up
3/18/2025,,,,,5311.813133,0.000230803,230679.033,down
3/19/2025,,,,,2478.584855,0.000225458,224452.0176,up
3/20/2025,,,,,1466.35588,0.000236564,236518.1142,up
3/21/2025,0.00020648,0.00025879,0.00020624,0.00024248,4505.521231,0.000242484,242436.8484,down
3/22/2025,,,,,1119.431479,0.000235113,234938.7327,up
3/23/2025,,,,,658.8682287,0.000236295,236289.7668,up
3/24/2025,,,,,451.6731793,0.000241909,240630.3395,up
3/25/2025,0.00024344,0.00027144,0.00022627,0.00026428,3244.75751,0.000263684,263629.7539,down
3/26/2025,,,,,1904.000457,0.000261984,262115.7337,down
3/27/2025,,,,,3717.695783,0.000236302,238113.5845,up
3/28/2025,,,,,3153.38794,0.000248731,248881.8796,down
3/29/2025,0.00026397,0.00026845,0.00019938,0.0002016,5106.710167,0.000201596,200466.7183,down
3/30/2025,,,,,1087.464344,0.000196127,194862.2315,up
3/31/2025,,,,,2159.355871,0.000200198,200982.5816,up
4/1/2025,,,,,3784.653605,0.000209443,209395.2782,down
4/2/2025,0.00020036,0.00021989,0.00019389,0.00020141,1803.103219,0.000201409,202172.6183,down
4/3/2025,,,,,2981.002668,0.000186725,184818.4459,down
4/4/2025,,,,,5813.250041,0.000172883,172820.8604,up
4/5/2025,,,,,2673.58877,0.000184985,184601.694,down
4/6/2025,0.00020224,0.00021108,0.00016736,0.00018006,297.39449,0.000180062,179354.6999,down
4/7/2025,,,,,2497.504128,0.000145974,145633.7043,up
4/8/2025,,,,,950.5854503,0.000146271,147738.4818,up
4/9/2025,,,,,1893.117321,0.000155488,156164.794,up
4/10/2025,0.00017977,0.00018167,0.0001318,0.00017002,2167.222247,0.00017002,169836.0976,down
4/11/2025,,,,,866.3732301,0.000158343,158322.5457,down
4/12/2025,,,,,3467.041539,0.000156618,155674.9189,up
4/13/2025,,,,,907.0282952,0.000166226,166267.5842,down
4/14/2025,0.00017006,0.00017071,0.00015218,0.00016191,1101.537591,0.000161705,161011.4645,down
4/15/2025,,,,,2601.604531,0.000148626,147703.5823,down
4/16/2025,,,,,296.6162682,0.000146534,146499.6408,up
4/17/2025,,,,,1450.651044,0.000149536,149315.2742,down
4/18/2025,0.00016175,0.00016972,0.00014312,0.00014924,2370.436153,0.000149238,149251.0861,up
4/19/2025,,,,,802.4359838,0.000149758,149724.1557,up
4/20/2025,,,,,2835.757115,0.000156718,156637.2137,down
4/21/2025,,,,,2331.925644,0.000149214,149077.774,down
4/22/2025,0.00014933,0.00015955,0.00013222,0.00013453,3125.449534,0.000134287,134142.7688,up
4/23/2025,,,,,8115.09588,0.000152091,151952.8046,down
4/24/2025,,,,,739.9816112,0.000151102,151898.5056,down
4/25/2025,,,,,240.9269531,0.000150994,151720.9353,down
4/26/2025,0.00013401,0.00015965,0.00013236,0.00014805,388.333924,0.000148053,147277.757,down
4/27/2025,,,,,1390.10426,0.000139363,139994.9287,up
4/28/2025,,,,,4686.432582,0.000145081,144322.816,down
4/29/2025,,,,,2371.203843,0.000136931,136857.3684,up
4/30/2025,0.00014819,0.00015118,0.00013376,0.00013981,4984.680958,0.000139724,139405.4808,down
5/1/2025,,,,,2926.327851,0.000139663,139635.0588,up
5/2/2025,,,,,2108.701196,0.000142328,142277.3038,up
5/3/2025,,,,,4133.180427,0.000142698,142646.8636,up
5/4/2025,0.00013909,0.00015401,0.00013524,0.00014651,2808.39158,0.000145829,146541.1744,down
5/5/2025,,,,,2289.253424,0.000134815,134360.825,up
5/6/2025,,,,,531.9866396,0.000136198,136162.2039,down
5/7/2025,,,,,3265.497801,0.000128692,128417.8382,down
5/8/2025,0.00014641,0.00014641,0.00012591,0.00012763,2102.380778,0.000127628,127597.2619,up
5/9/2025,,,,,1249.055445,0.000141084,141028.0684,down
5/10/2025,,,,,4134.117882,0.000131913,131835.6558,up
5/11/2025,,,,,1269.094798,0.000139981,139925.833,down
